Customer ID,Name,Created Year,Created Time,Profit/User,CAC,CLV,StateID,Subscription,Genre ID,Usage,CustomerType,Last Login Date,Email,Age,Payment Method,Current Occupation,Product Rating,Listening Time,Customer Rating
b80344d063b5ccb3212f76538f3d9e43d87dca9e,Ankita Brahmankar,2018,4:56,1484.507,32,14813.07,42,Family Plan subscription,4,Android,Existing,09/05/2018,gdomniney0@unicef.org,45,mastercard,Other,Satisfied,Morning,2
bd4c6e843f00bd476847fb75c47b4fb430a06856,Anuja Suryawanshi,2018,12:18,7617.625,32,76144.25,33,Free users subscription,7,MAC,Existing,03/02/2018,aschowenburg1@shareasale.com,62,jcb,Home maker,Neutral,Morning,2
8937134734f869debcab8f23d77465b4caaa85df,Sayali Bhagat,2018,11:33,6632.419,32,66292.19,5,1 year subscription,5,Windows,Existing,03/13/2019,cisted2@istockphoto.com,22,jcb,Home maker,Highly Dissatisfied,Afternoon,4
969cc6fb74e076a68e36a04409cb9d3765757508,Sharvari Karnik,2018,11:19,6616.582,32,66133.82,39,6 month subscription,9,Android,Existing,10/21/2018,abehning3@goo.ne.jp,58,switch,Working Professional,Highly Dissatisfied,Evening,4
884209a41deb55df792f074bccf8af1c1c31768b,Pooja Dharmadhikari,2019,9:38,7236.021,127,7109.021,42,3 month subscription,7,Windows,New Customer,07/04/2019,dde4@techcrunch.com,31,solo,Unemployed,Dissatisfied,Night,5
e006b1a48f466bf59feefed32bec6494495a4436,Dhaval Pandya,2019,6:07,3340.738,127,3213.738,4,Free users subscription,10,Windows,New Customer,07/24/2019,vlehrahan5@homestead.com,49,jcb,Other,Highly Satisfied,Evening,4
9d6f0ead607ac2a6c2460e4d14fb439a146b7dec,Suhas Balanagar,2019,21:56,3955.478,127,3828.478,38,Free users subscription,4,Android,New Customer,06/11/2019,abendix6@blog.com,27,diners-club-carte-blanche,Businessman,Satisfied,Morning,3
b64cdd1a0bd907e5e00b39e345194768e330d652,Ankita Moharir,2019,2:35,6951.439,127,6824.439,27,Family Plan subscription,1,UNIX,New Customer,04/15/2019,tbaynes7@usatoday.com,62,jcb,Other,Highly Satisfied,Evening,5
d6589314c0a9bcbca4fee0c93b14bc402363afea,Jayesh Patil,2019,21:49,6932.268,127,6805.268,42,6 month subscription,4,Android,New Customer,01/19/2019,ealcido8@thetimes.co.uk,17,jcb,Student,Neutral,Night,5
c737ec8c1b16ce8e39115f4432c9a7fc21ec47a1,Ajinkya Joshi,2019,13:19,9234.201,127,9107.201,23,Student Plan subscription,7,Android,New Customer,03/23/2019,jverbrugghen9@ebay.co.uk,40,visa,Working Professional,Dissatisfied,Evening,4
07caa920795cd4f20bfeeb0e192a5ddd9566ecdd,Akash Indani,2019,18:40,8932.053,127,8805.053,31,1 month subscription,6,UNIX,New Customer,03/23/2019,malgeoa@i2i.jp,67,jcb,Businessman,Neutral,Evening,5
